year,region,country,minimum_annual_leave_5day_workweek,observation_status,leave_bracket,service_basis,source,source_url
2012,Asia and Pacific,Solomon Islands,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Sri Lanka,,no_universal_minimum,no_universal_minimum,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Thailand,6,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Vanuatu,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Vietnam,10,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Armenia,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Austria,25,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Belgium,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Bulgaria,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Croatia,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Czech Republic,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Europe and CIS,Denmark,25,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
