country,region,ilo_2012_days_5day,ilo_status,ilo_bracket,wb_economy,wb_code,wb_2012_leave_1y,wb_2012_leave_avg,wb1_minus_ilo,abs_diff_1y,qa_class
Sweden,Europe and CIS,25,exact_annex,24-25,Sweden,SWE,25,25,0,0,close_0_1
Switzerland,Europe and CIS,20,exact_annex,20-23,Switzerland,CHE,20,20,0,0,close_0_1
Turkey,Europe and CIS,12,exact_annex,10-14,Turkey,TUR,14,18,2,2,moderate_1_2
United Kingdom,Europe and CIS,28,exact_annex,26+,United Kingdom,GBR,28,28,0,0,close_0_1
Antigua and Barbuda,Americas and Caribbean,12,exact_annex,10-14,Antigua and Barbuda,ATG,12,12,0,0,close_0_1
Argentina,Americas and Caribbean,10,exact_annex,10-14,Argentina,ARG,12,18,2,2,moderate_1_2
Bahamas,Americas and Caribbean,10,exact_annex,10-14,"Bahamas, The",BHS,10,11.666666666666666,0,0,close_0_1
Barbados,Americas and Caribbean,15,exact_annex,15-19,Barbados,BRB,17,20.333333333333332,2,2,moderate_1_2
Belize,Americas and Caribbean,10,exact_annex,10-14,Belize,BLZ,12,12,2,2,moderate_1_2
Bolivia,Americas and Caribbean,15,exact_annex,15-19,Bolivia,BOL,15,21.666666666666668,0,0,close_0_1
Brazil,Americas and Caribbean,21,exact_annex,20-23,Brazil São Paulo,BRA,26,26,5,5,priority_review_ge5
Canada,Americas and Caribbean,10,exact_annex,10-14,Canada,CAN,10,10,0,0,close_0_1
Chile,Americas and Caribbean,15,exact_annex,15-19,Chile,CHL,15,15,0,0,close_0_1
Colombia,Americas and Caribbean,10,exact_annex,10-14,Colombia,COL,15,15,5,5,priority_review_ge5
Costa Rica,Americas and Caribbean,10,exact_annex,10-14,Costa Rica,CRI,12,12,2,2,moderate_1_2
Dominica,Americas and Caribbean,10,exact_annex,10-14,Dominica,DMA,10,13.333333333333334,0,0,close_0_1
Dominican Republic,Americas and Caribbean,12,exact_annex,10-14,Dominican Republic,DOM,14,16.6666666666667,2,2,moderate_1_2
Ecuador,Americas and Caribbean,10,exact_annex,10-14,Ecuador,ECU,11,12.333333333333334,1,1,close_0_1
El Salvador,Americas and Caribbean,15,exact_annex,15-19,El Salvador,SLV,11,11,-4,4,review_2_5
Grenada,Americas and Caribbean,10,exact_annex,10-14,Grenada,GRD,10,13.333333333333334,0,0,close_0_1
Guatemala,Americas and Caribbean,13,exact_annex,10-14,Guatemala,GTM,15,15,2,2,moderate_1_2
Guyana,Americas and Caribbean,12,exact_annex,10-14,Guyana,GUY,12,12,0,0,close_0_1
Haiti,Americas and Caribbean,11,exact_annex,10-14,Haiti,HTI,13,13,2,2,moderate_1_2
Honduras,Americas and Caribbean,8,exact_annex,<10,Honduras,HND,10,16.666666666666668,2,2,moderate_1_2
Jamaica,Americas and Caribbean,10,exact_annex,10-14,Jamaica,JAM,10,11.666666666666666,0,0,close_0_1
Mexico,Americas and Caribbean,6,exact_annex,<10,Mexico Mexico City,MEX,6,12,0,0,close_0_1
Nicaragua,Americas and Caribbean,10,exact_annex,10-14,Nicaragua,NIC,30,30,20,20,priority_review_ge5
Panama,Americas and Caribbean,21,exact_annex,20-23,Panama,PAN,22,22,1,1,close_0_1
Paraguay,Americas and Caribbean,10,exact_annex,10-14,Paraguay,PRY,12,20,2,2,moderate_1_2
Peru,Americas and Caribbean,21,exact_annex,20-23,Peru,PER,13,13,-8,8,priority_review_ge5
